ID1;ID2;DISTANCE BETWEEN ID1 AND ID2 (KM)
WOLF_DE_14;WOLF_DE_22;147
WOLF_DE_11;WOLF_DE_23;0
WOLF_PL_2;WOLF_PL_3;4
WOLF_PL_9;WOLF_PL_10;10
WOLF_PL_13;WOLF_PL_15;158
WOLF_PL_15;WOLF_PL_16;24
WOLF_PL_11;WOLF_PL_19;240
WOLF_PL_12;WOLF_PL_19;238
WOLF_PL_19;WOLF_PL_20;22
WOLF_PL_19;WOLF_PL_21;20
WOLF_PL_18;WOLF_PL_22;3
WOLF_PL_19;WOLF_PL_22;22
WOLF_PL_21;WOLF_PL_22;6
WOLF_PL_19;WOLF_PL_23;6
WOLF_PL_19;WOLF_PL_24;36
WOLF_PL_19;WOLF_PL_25;155
WOLF_PL_18;WOLF_PL_26;87
WOLF_PL_19;WOLF_PL_26;95
WOLF_PL_25;WOLF_PL_26;169
WOLF_PL_11;WOLF_PL_27;109
WOLF_PL_13;WOLF_PL_27;255
WOLF_PL_19;WOLF_PL_27;146
WOLF_PL_25;WOLF_PL_27;239
WOLF_PL_12;WOLF_PL_28;141
WOLF_PL_20;WOLF_PL_28;95
WOLF_PL_21;WOLF_PL_28;89
WOLF_PL_23;WOLF_PL_28;94
WOLF_PL_12;WOLF_PL_29;103
WOLF_PL_19;WOLF_PL_29;160
WOLF_PL_24;WOLF_PL_30;121
WOLF_PL_29;WOLF_PL_30;6
WOLF_PL_19;WOLF_PL_31;115
WOLF_PL_20;WOLF_PL_31;96
WOLF_PL_30;WOLF_PL_31;146
WOLF_PL_17;WOLF_PL_32;190
WOLF_PL_19;WOLF_PL_32;141
WOLF_PL_25;WOLF_PL_32;221
WOLF_PL_26;WOLF_PL_32;236
WOLF_PL_31;WOLF_PL_32;242
WOLF_DE_23;WOLF_PL_33;167
WOLF_DE_26;WOLF_PL_33;199
WOLF_PL_29;WOLF_PL_33;165
WOLF_PL_31;WOLF_PL_33;186
WOLF_SK_4;WOLF_SK_5;202
WOLF_SK_4;WOLF_SK_6;216
WOLF_PL_1;WOLF_SK_7;62
WOLF_SK_4;WOLF_SK_7;188
WOLF_SK_4;WOLF_SK_8;98
WOLF_SK_4;WOLF_SK_9;27
WOLF_SK_4;WOLF_SK_10;188
WOLF_SK_3;WOLF_SK_11;23
WOLF_SK_4;WOLF_SK_11;15
WOLF_SK_1;WOLF_SK_12;32
WOLF_SK_4;WOLF_SK_12;38
WOLF_SK_4;WOLF_SK_13;33
WOLF_SK_4;WOLF_SK_14;83
WOLF_PL_5;WOLF_SK_15;163
WOLF_PL_7;WOLF_SK_16;212
WOLF_SK_4;WOLF_SK_16;69
WOLF_SK_4;WOLF_SK_17;69
WOLF_SK_4;WOLF_SK_19;72
WOLF_SK_19;WOLF_SK_20;0
WOLF_SK_2;WOLF_SK_21;40
WOLF_SK_19;WOLF_SK_21;0
WOLF_SK_20;WOLF_SK_21;0
WOLF_SK_4;WOLF_SK_23;56
WOLF_SK_22;WOLF_SK_23;52
WOLF_SK_8;WOLF_SK_24;76
WOLF_SK_4;WOLF_SK_25;96
WOLF_PL_5;WOLF_SK_26;186
WOLF_SK_4;WOLF_SK_27;92
WOLF_SK_26;WOLF_SK_27;0
WOLF_SK_4;WOLF_SK_28;50
WOLF_SK_4;WOLF_SK_29;118
WOLF_PL_2;WOLF_SK_32;121
WOLF_SK_15;WOLF_SK_32;36
WOLF_SK_4;WOLF_SK_33;107
WOLF_SK_4;WOLF_SK_34;104
WOLF_SK_25;WOLF_SK_34;56
WOLF_SK_4;WOLF_SK_35;92
WOLF_SK_34;WOLF_SK_35;20
WOLF_SK_4;WOLF_SK_36;120
WOLF_SK_4;WOLF_SK_37;105
WOLF_SK_4;WOLF_SK_38;21
WOLF_PL_6;WOLF_SK_39;20
WOLF_SK_4;WOLF_SK_39;173
WOLF_SK_25;WOLF_SK_39;148
WOLF_SK_4;WOLF_SK_40;124
WOLF_SK_8;WOLF_SK_41;176
WOLF_SK_31;WOLF_SK_41;66
WOLF_PL_4;WOLF_SK_42;163
WOLF_SK_4;WOLF_SK_42;32
WOLF_SK_4;WOLF_SK_43;123
WOLF_SK_34;WOLF_SK_43;37
WOLF_SK_4;WOLF_SK_44;144
WOLF_SK_4;WOLF_SK_45;208
WOLF_SK_16;WOLF_SK_45;179
WOLF_SK_4;WOLF_SK_47;70
WOLF_SK_25;WOLF_SK_47;38
WOLF_SK_4;WOLF_SK_48;69
WOLF_SK_29;WOLF_SK_48;94
WOLF_SK_4;WOLF_SK_49;22
WOLF_SK_4;WOLF_SK_50;22
WOLF_SK_37;WOLF_SK_50;85
WOLF_SK_4;WOLF_SK_51;72
WOLF_SK_4;WOLF_SK_52;67
WOLF_SK_29;WOLF_SK_52;56
WOLF_SK_40;WOLF_SK_52;60
WOLF_PL_3;WOLF_SK_54;141
WOLF_SK_4;WOLF_SK_54;67
WOLF_SK_8;WOLF_SK_54;90
WOLF_PL_3;WOLF_UA_4;236
WOLF_PL_36;WOLF_UA_8;85
WOLF_IT_1;WOLF_IT_3;8
WOLF_IT_3;WOLF_IT_4;18
WOLF_IT_1;WOLF_IT_5;5
WOLF_IT_6;WOLF_IT_7;14
WOLF_IT_6;WOLF_IT_8;0
WOLF_IT_4;WOLF_IT_11;96
WOLF_IT_12;WOLF_IT_11;63
WOLF_IT_2;WOLF_IT_13;59
WOLF_IT_12;WOLF_IT_13;83
